GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US130890213033,130890213033,"Block Group 3, Census Tract 213.03, DeKalb County, Georgia",32256,7089
1500000US130890213051,130890213051,"Block Group 1, Census Tract 213.05, DeKalb County, Georgia",100882,44449
1500000US130890213052,130890213052,"Block Group 2, Census Tract 213.05, DeKalb County, Georgia",34500,6842
1500000US130890213061,130890213061,"Block Group 1, Census Tract 213.06, DeKalb County, Georgia",43616,9834
1500000US130890213062,130890213062,"Block Group 2, Census Tract 213.06, DeKalb County, Georgia",53105,15082
1500000US130890213063,130890213063,"Block Group 3, Census Tract 213.06, DeKalb County, Georgia",38382,7081
1500000US130890213071,130890213071,"Block Group 1, Census Tract 213.07, DeKalb County, Georgia",47750,12072
1500000US130890213072,130890213072,"Block Group 2, Census Tract 213.07, DeKalb County, Georgia",46190,5262
1500000US130890213081,130890213081,"Block Group 1, Census Tract 213.08, DeKalb County, Georgia",47619,14940
1500000US130890213082,130890213082,"Block Group 2, Census Tract 213.08, DeKalb County, Georgia",47500,28877
1500000US130890213083,130890213083,"Block Group 3, Census Tract 213.08, DeKalb County, Georgia",42000,12138
1500000US130890214051,130890214051,"Block Group 1, Census Tract 214.05, DeKalb County, Georgia",88833,46480
1500000US130890214052,130890214052,"Block Group 2, Census Tract 214.05, DeKalb County, Georgia",97031,24957
1500000US130890214053,130890214053,"Block Group 3, Census Tract 214.05, DeKalb County, Georgia",130417,31683
1500000US130890214091,130890214091,"Block Group 1, Census Tract 214.09, DeKalb County, Georgia",36875,10703
1500000US130890214092,130890214092,"Block Group 2, Census Tract 214.09, DeKalb County, Georgia",40972,18009
1500000US130890214101,130890214101,"Block Group 1, Census Tract 214.10, DeKalb County, Georgia",46250,9027
1500000US130890214102,130890214102,"Block Group 2, Census Tract 214.10, DeKalb County, Georgia",37770,14412
1500000US130890214103,130890214103,"Block Group 3, Census Tract 214.10, DeKalb County, Georgia",66700,8409
1500000US130890214111,130890214111,"Block Group 1, Census Tract 214.11, DeKalb County, Georgia",73250,25731
1500000US130890214112,130890214112,"Block Group 2, Census Tract 214.11, DeKalb County, Georgia",89545,27308
1500000US130890214121,130890214121,"Block Group 1, Census Tract 214.12, DeKalb County, Georgia",122625,25976
1500000US130890214122,130890214122,"Block Group 2, Census Tract 214.12, DeKalb County, Georgia",63750,20792
1500000US130890214123,130890214123,"Block Group 3, Census Tract 214.12, DeKalb County, Georgia",104345,32068
1500000US130890214131,130890214131,"Block Group 1, Census Tract 214.13, DeKalb County, Georgia",38750,10157
