Id,Id2,Geography,Median
1500000US130890213071,130890213071,"Block Group 1, Census Tract 213.07, DeKalb County, Georgia",47750
1500000US130890213072,130890213072,"Block Group 2, Census Tract 213.07, DeKalb County, Georgia",46190
1500000US130890213081,130890213081,"Block Group 1, Census Tract 213.08, DeKalb County, Georgia",47619
1500000US130890213082,130890213082,"Block Group 2, Census Tract 213.08, DeKalb County, Georgia",47500
1500000US130890213083,130890213083,"Block Group 3, Census Tract 213.08, DeKalb County, Georgia",42000
1500000US130890214051,130890214051,"Block Group 1, Census Tract 214.05, DeKalb County, Georgia",88833
1500000US130890214052,130890214052,"Block Group 2, Census Tract 214.05, DeKalb County, Georgia",97031
1500000US130890214053,130890214053,"Block Group 3, Census Tract 214.05, DeKalb County, Georgia",130417
1500000US130890214091,130890214091,"Block Group 1, Census Tract 214.09, DeKalb County, Georgia",36875
1500000US130890214092,130890214092,"Block Group 2, Census Tract 214.09, DeKalb County, Georgia",40972
1500000US130890214101,130890214101,"Block Group 1, Census Tract 214.10, DeKalb County, Georgia",46250
1500000US130890214102,130890214102,"Block Group 2, Census Tract 214.10, DeKalb County, Georgia",37770
1500000US130890214103,130890214103,"Block Group 3, Census Tract 214.10, DeKalb County, Georgia",66700
1500000US130890214111,130890214111,"Block Group 1, Census Tract 214.11, DeKalb County, Georgia",73250
1500000US130890214112,130890214112,"Block Group 2, Census Tract 214.11, DeKalb County, Georgia",89545
1500000US130890214121,130890214121,"Block Group 1, Census Tract 214.12, DeKalb County, Georgia",122625
1500000US130890214122,130890214122,"Block Group 2, Census Tract 214.12, DeKalb County, Georgia",63750
1500000US130890214123,130890214123,"Block Group 3, Census Tract 214.12, DeKalb County, Georgia",104345
1500000US130890214131,130890214131,"Block Group 1, Census Tract 214.13, DeKalb County, Georgia",38750
1500000US130890214132,130890214132,"Block Group 2, Census Tract 214.13, DeKalb County, Georgia",27596
1500000US130890214141,130890214141,"Block Group 1, Census Tract 214.14, DeKalb County, Georgia",36607
1500000US130890214142,130890214142,"Block Group 2, Census Tract 214.14, DeKalb County, Georgia",40667
