Id,Id2,Geography,Total,Male,Myoung,Mmid,Mold,Female,Fyoung,Fmid,Fold,Young,Mid,Old
1500000US130890212112,130890212112,"Block Group 2, Census Tract 212.11, DeKalb County, Georgia",2110,1092,206,415,103,1018,229,458,150,435,873,253
1500000US130890212113,130890212113,"Block Group 3, Census Tract 212.11, DeKalb County, Georgia",1349,565,121,278,107,784,109,264,169,230,542,276
1500000US130890212131,130890212131,"Block Group 1, Census Tract 212.13, DeKalb County, Georgia",1076,495,75,174,141,581,76,184,139,151,358,280
1500000US130890212132,130890212132,"Block Group 2, Census Tract 212.13, DeKalb County, Georgia",2379,1138,139,448,221,1241,118,459,179,257,907,400
1500000US130890212141,130890212141,"Block Group 1, Census Tract 212.14, DeKalb County, Georgia",1801,1004,204,372,163,797,44,442,182,248,814,345
1500000US130890212142,130890212142,"Block Group 2, Census Tract 212.14, DeKalb County, Georgia",3002,1437,275,482,234,1565,274,574,300,549,1056,534
1500000US130890212143,130890212143,"Block Group 3, Census Tract 212.14, DeKalb County, Georgia",1529,825,183,181,110,704,135,212,118,318,393,228
1500000US130890212151,130890212151,"Block Group 1, Census Tract 212.15, DeKalb County, Georgia",3401,1716,776,508,188,1685,689,498,102,1465,1006,290
1500000US130890212152,130890212152,"Block Group 2, Census Tract 212.15, DeKalb County, Georgia",2544,1279,626,148,41,1265,769,85,41,1395,233,82
1500000US130890212161,130890212161,"Block Group 1, Census Tract 212.16, DeKalb County, Georgia",1876,947,154,278,51,929,269,153,49,423,431,100
1500000US130890212162,130890212162,"Block Group 2, Census Tract 212.16, DeKalb County, Georgia",3807,1936,984,573,119,1871,770,491,165,1754,1064,284
1500000US130890212163,130890212163,"Block Group 3, Census Tract 212.16, DeKalb County, Georgia",2857,1445,811,378,76,1412,1026,196,165,1837,574,241
1500000US130890212171,130890212171,"Block Group 1, Census Tract 212.17, DeKalb County, Georgia",2466,1201,318,326,157,1265,486,392,160,804,718,317
1500000US130890212181,130890212181,"Block Group 1, Census Tract 212.18, DeKalb County, Georgia",1266,580,407,44,22,686,481,101,37,888,145,59
1500000US130890212182,130890212182,"Block Group 2, Census Tract 212.18, DeKalb County, Georgia",2239,962,378,373,100,1277,573,446,136,951,819,236
1500000US130890212183,130890212183,"Block Group 3, Census Tract 212.18, DeKalb County, Georgia",1319,519,160,253,39,800,163,309,268,323,562,307
1500000US130890213011,130890213011,"Block Group 1, Census Tract 213.01, DeKalb County, Georgia",1107,798,478,222,23,309,95,110,8,573,332,31
1500000US130890213012,130890213012,"Block Group 2, Census Tract 213.01, DeKalb County, Georgia",2898,1541,596,582,65,1357,584,445,66,1180,1027,131
1500000US130890213031,130890213031,"Block Group 1, Census Tract 213.03, DeKalb County, Georgia",3051,1532,511,531,107,1519,504,439,172,1015,970,279
1500000US130890213032,130890213032,"Block Group 2, Census Tract 213.03, DeKalb County, Georgia",1314,757,287,199,52,557,196,197,46,483,396,98
1500000US130890213033,130890213033,"Block Group 3, Census Tract 213.03, DeKalb County, Georgia",2131,1205,515,132,60,926,414,130,15,929,262,75
1500000US130890213051,130890213051,"Block Group 1, Census Tract 213.05, DeKalb County, Georgia",928,526,179,186,36,402,71,200,31,250,386,67
1500000US130890213052,130890213052,"Block Group 2, Census Tract 213.05, DeKalb County, Georgia",4256,2483,881,510,63,1773,581,527,53,1462,1037,116
1500000US130890213061,130890213061,"Block Group 1, Census Tract 213.06, DeKalb County, Georgia",2570,1421,519,385,41,1149,386,405,85,905,790,126
1500000US130890213062,130890213062,"Block Group 2, Census Tract 213.06, DeKalb County, Georgia",667,320,67,100,55,347,89,128,28,156,228,83
1500000US130890213063,130890213063,"Block Group 3, Census Tract 213.06, DeKalb County, Georgia",1885,913,417,329,10,972,304,265,9,721,594,19
1500000US130890213071,130890213071,"Block Group 1, Census Tract 213.07, DeKalb County, Georgia",1430,777,267,278,44,653,232,185,88,499,463,132
1500000US130890213072,130890213072,"Block Group 2, Census Tract 213.07, DeKalb County, Georgia",2946,1618,641,391,116,1328,516,367,115,1157,758,231
1500000US130890213081,130890213081,"Block Group 1, Census Tract 213.08, DeKalb County, Georgia",1648,889,358,284,85,759,220,282,126,578,566,211
1500000US130890213082,130890213082,"Block Group 2, Census Tract 213.08, DeKalb County, Georgia",525,270,79,131,9,255,58,108,58,137,239,67
1500000US130890213083,130890213083,"Block Group 3, Census Tract 213.08, DeKalb County, Georgia",1926,1099,544,311,44,827,359,141,81,903,452,125
1500000US130890214051,130890214051,"Block Group 1, Census Tract 214.05, DeKalb County, Georgia",1042,749,402,161,102,293,96,119,32,498,280,134
1500000US130890214052,130890214052,"Block Group 2, Census Tract 214.05, DeKalb County, Georgia",1850,1198,450,423,32,652,248,282,18,698,705,50
1500000US130890214053,130890214053,"Block Group 3, Census Tract 214.05, DeKalb County, Georgia",1367,538,172,229,0,829,387,261,26,559,490,26
1500000US130890214091,130890214091,"Block Group 1, Census Tract 214.09, DeKalb County, Georgia",2735,1625,855,298,14,1110,680,204,11,1535,502,25
1500000US130890214092,130890214092,"Block Group 2, Census Tract 214.09, DeKalb County, Georgia",975,523,249,78,10,452,154,152,20,403,230,30
1500000US130890214101,130890214101,"Block Group 1, Census Tract 214.10, DeKalb County, Georgia",1964,1077,327,329,83,887,372,249,71,699,578,154
1500000US130890214102,130890214102,"Block Group 2, Census Tract 214.10, DeKalb County, Georgia",1757,1160,695,197,0,597,280,53,0,975,250,0
1500000US130890214103,130890214103,"Block Group 3, Census Tract 214.10, DeKalb County, Georgia",1651,861,551,203,66,790,502,118,79,1053,321,145
1500000US130890214111,130890214111,"Block Group 1, Census Tract 214.11, DeKalb County, Georgia",1832,934,387,425,44,898,440,293,34,827,718,78
1500000US130890214112,130890214112,"Block Group 2, Census Tract 214.11, DeKalb County, Georgia",1718,804,403,307,32,914,522,239,27,925,546,59
1500000US130890214121,130890214121,"Block Group 1, Census Tract 214.12, DeKalb County, Georgia",1167,668,284,165,30,499,241,130,20,525,295,50
1500000US130890214122,130890214122,"Block Group 2, Census Tract 214.12, DeKalb County, Georgia",1480,673,289,220,26,807,273,254,31,562,474,57
1500000US130890214123,130890214123,"Block Group 3, Census Tract 214.12, DeKalb County, Georgia",1227,665,406,95,56,562,230,122,111,636,217,167
1500000US130890214131,130890214131,"Block Group 1, Census Tract 214.13, DeKalb County, Georgia",3030,1633,811,384,67,1397,492,247,65,1303,631,132
1500000US130890214132,130890214132,"Block Group 2, Census Tract 214.13, DeKalb County, Georgia",1451,863,256,219,23,588,237,46,0,493,265,23
1500000US130890214141,130890214141,"Block Group 1, Census Tract 214.14, DeKalb County, Georgia",3022,1769,1011,333,24,1253,517,255,105,1528,588,129
1500000US130890214142,130890214142,"Block Group 2, Census Tract 214.14, DeKalb County, Georgia",947,475,285,89,68,472,276,113,0,561,202,68
1500000US130890214151,130890214151,"Block Group 1, Census Tract 214.15, DeKalb County, Georgia",1103,502,191,230,17,601,346,125,68,537,355,85
1500000US130890214152,130890214152,"Block Group 2, Census Tract 214.15, DeKalb County, Georgia",1229,563,305,161,47,666,378,170,55,683,331,102
1500000US130890214153,130890214153,"Block Group 3, Census Tract 214.15, DeKalb County, Georgia",1846,1022,335,275,66,824,375,214,49,710,489,115
1500000US130890214161,130890214161,"Block Group 1, Census Tract 214.16, DeKalb County, Georgia",1978,880,424,213,6,1098,463,169,0,887,382,6
1500000US130890214162,130890214162,"Block Group 2, Census Tract 214.16, DeKalb County, Georgia",614,303,198,52,53,311,218,93,0,416,145,53
1500000US130890214171,130890214171,"Block Group 1, Census Tract 214.17, DeKalb County, Georgia",1117,354,215,103,36,763,598,106,31,813,209,67
1500000US130890214172,130890214172,"Block Group 2, Census Tract 214.17, DeKalb County, Georgia",1231,787,413,131,0,444,347,36,0,760,167,0
1500000US130890214173,130890214173,"Block Group 3, Census Tract 214.17, DeKalb County, Georgia",2793,1471,649,353,69,1322,372,338,13,1021,691,82
1500000US130890215021,130890215021,"Block Group 1, Census Tract 215.02, DeKalb County, Georgia",1298,540,322,157,50,758,448,237,48,770,394,98
1500000US130890215022,130890215022,"Block Group 2, Census Tract 215.02, DeKalb County, Georgia",1445,784,60,446,97,661,120,237,100,180,683,197
1500000US130890215023,130890215023,"Block Group 3, Census Tract 215.02, DeKalb County, Georgia",1839,1158,503,415,53,681,264,226,144,767,641,197
1500000US130890215031,130890215031,"Block Group 1, Census Tract 215.03, DeKalb County, Georgia",1478,726,264,217,122,752,382,152,63,646,369,185
1500000US130890215032,130890215032,"Block Group 2, Census Tract 215.03, DeKalb County, Georgia",1023,460,152,150,60,563,174,144,120,326,294,180
1500000US130890215033,130890215033,"Block Group 3, Census Tract 215.03, DeKalb County, Georgia",1741,883,397,249,0,858,366,207,14,763,456,14
1500000US130890215041,130890215041,"Block Group 1, Census Tract 215.04, DeKalb County, Georgia",1619,616,421,134,34,1003,639,95,73,1060,229,107
1500000US130890215042,130890215042,"Block Group 2, Census Tract 215.04, DeKalb County, Georgia",2104,907,288,320,258,1197,579,331,235,867,651,493
1500000US130890215043,130890215043,"Block Group 3, Census Tract 215.04, DeKalb County, Georgia",1333,619,228,263,111,714,320,150,244,548,413,355
1500000US130890216021,130890216021,"Block Group 1, Census Tract 216.02, DeKalb County, Georgia",1605,732,199,380,57,873,330,138,310,529,518,367
1500000US130890216022,130890216022,"Block Group 2, Census Tract 216.02, DeKalb County, Georgia",2399,1035,155,480,179,1364,304,507,266,459,987,445
1500000US130890216031,130890216031,"Block Group 1, Census Tract 216.03, DeKalb County, Georgia",1665,895,219,279,129,770,213,274,156,432,553,285
1500000US130890216032,130890216032,"Block Group 2, Census Tract 216.03, DeKalb County, Georgia",1653,683,406,206,50,970,472,221,163,878,427,213
1500000US130890216033,130890216033,"Block Group 3, Census Tract 216.03, DeKalb County, Georgia",1203,630,340,235,23,573,327,156,70,667,391,93
1500000US130890216041,130890216041,"Block Group 1, Census Tract 216.04, DeKalb County, Georgia",2046,903,125,427,135,1143,161,458,215,286,885,350
1500000US130890216042,130890216042,"Block Group 2, Census Tract 216.04, DeKalb County, Georgia",1091,519,78,222,92,572,77,193,164,155,415,256
1500000US130890216051,130890216051,"Block Group 1, Census Tract 216.05, DeKalb County, Georgia",1662,908,348,307,114,754,232,239,122,580,546,236
1500000US130890216052,130890216052,"Block Group 2, Census Tract 216.05, DeKalb County, Georgia",1035,388,101,136,102,647,139,213,108,240,349,210
1500000US130890216053,130890216053,"Block Group 3, Census Tract 216.05, DeKalb County, Georgia",2827,1577,859,357,29,1250,635,191,30,1494,548,59
1500000US130890217031,130890217031,"Block Group 1, Census Tract 217.03, DeKalb County, Georgia",2409,968,187,366,185,1441,212,629,357,399,995,542
1500000US130890217032,130890217032,"Block Group 2, Census Tract 217.03, DeKalb County, Georgia",2479,1211,150,495,242,1268,190,497,292,340,992,534
1500000US130890217041,130890217041,"Block Group 1, Census Tract 217.04, DeKalb County, Georgia",1577,762,212,241,106,815,258,283,96,470,524,202
1500000US130890217042,130890217042,"Block Group 2, Census Tract 217.04, DeKalb County, Georgia",1123,540,254,76,102,583,152,206,169,406,282,271
1500000US130890217043,130890217043,"Block Group 3, Census Tract 217.04, DeKalb County, Georgia",2877,1381,133,666,173,1496,230,636,248,363,1302,421
1500000US130890217051,130890217051,"Block Group 1, Census Tract 217.05, DeKalb County, Georgia",2152,764,306,193,62,1388,737,325,48,1043,518,110
1500000US130890217052,130890217052,"Block Group 2, Census Tract 217.05, DeKalb County, Georgia",1262,675,288,154,106,587,230,180,156,518,334,262
1500000US130890217053,130890217053,"Block Group 3, Census Tract 217.05, DeKalb County, Georgia",1317,740,512,105,40,577,377,108,46,889,213,86
1500000US130890217061,130890217061,"Block Group 1, Census Tract 217.06, DeKalb County, Georgia",787,389,61,185,83,398,63,115,104,124,300,187
1500000US130890217062,130890217062,"Block Group 2, Census Tract 217.06, DeKalb County, Georgia",2192,1212,569,406,23,980,619,233,33,1188,639,56
1500000US130890217063,130890217063,"Block Group 3, Census Tract 217.06, DeKalb County, Georgia",1072,522,19,239,90,550,96,297,62,115,536,152
1500000US130890217064,130890217064,"Block Group 4, Census Tract 217.06, DeKalb County, Georgia",1530,800,140,289,169,730,136,274,156,276,563,325
1500000US130890218051,130890218051,"Block Group 1, Census Tract 218.05, DeKalb County, Georgia",1864,884,206,321,88,980,173,501,182,379,822,270
1500000US130890218052,130890218052,"Block Group 2, Census Tract 218.05, DeKalb County, Georgia",1883,964,380,330,118,919,250,215,142,630,545,260
1500000US130890218053,130890218053,"Block Group 3, Census Tract 218.05, DeKalb County, Georgia",2665,1249,337,256,117,1416,530,340,133,867,596,250
1500000US130890218061,130890218061,"Block Group 1, Census Tract 218.06, DeKalb County, Georgia",2491,1330,374,290,95,1161,399,384,87,773,674,182
1500000US130890218062,130890218062,"Block Group 2, Census Tract 218.06, DeKalb County, Georgia",1074,513,48,289,134,561,40,284,188,88,573,322
1500000US130890218063,130890218063,"Block Group 3, Census Tract 218.06, DeKalb County, Georgia",2228,898,168,431,52,1330,385,539,159,553,970,211
1500000US130890218081,130890218081,"Block Group 1, Census Tract 218.08, DeKalb County, Georgia",1706,881,130,391,118,825,159,311,166,289,702,284
1500000US130890218082,130890218082,"Block Group 2, Census Tract 218.08, DeKalb County, Georgia",3293,1728,551,575,122,1565,473,506,255,1024,1081,377
1500000US130890218091,130890218091,"Block Group 1, Census Tract 218.09, DeKalb County, Georgia",535,268,50,115,79,267,31,158,78,81,273,157
